"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08"
"Alabama",23,173900,173900,170000,169900,169900,169900,169000,164900,165000,165000,164900,160000,159900,159900,160000,160000,160000,162500,163500,161900,160862.5,159900,159900,159900,159900,159900,159900,161500,159900,159999,159900,159900,159900,159900,159900,159900,159900,159900,162000,165000,167725,167900,167900,167000,167500,166200,165500,164900,164999.5,167900,169900,170000,174200,174900,174900,172500,170000,169900,173900,169500,169900,169999,173000,175000,175000,175000,174900,174900,176159.5,174900,174900,174900,174900,172000,175000,179900,179999,182000,180000,179900,179900,179900,179900,179500,179900,179900,185000,190000,194900,195000,194900,194900,196900,195000,191900,189900,190000,196000,199000,201900,204852,205000,203130.5,203900
"South Carolina",24,195000,189900,189685,187500,184900,183500,180000,179900,179900,179500,177900,174900,170900,169900,170000,169900,170000,172900,172000,174900,170990,172000,170000,175000,169900,169900,169900,169900,169900,169900,169900,169900,169000,169000,169000,169000,169842,169990,173900,175000,175000,179000,179000,179500,179695,179900,179900,179900,179900,181900,185000,187990,189900,189900,189900,189900,189900,190000,193000,191990,190000,194900,195000,199900,202060,199900,208990,204900,209900,209000,210000,212000,214900,215900,219900,219900,219999,224900,224990,220000,222900,223900,223900,220000,219900,224500,227900,229990,234000,234999,235000,235000,239900,239900,240000,239900,239900,239900,245000,249000,249900,249900,246900,244990
"Louisiana",25,176900,175500,177000,178500,176900,177500,175900,175500,175000,174500,172500,169900,165000,165000,168500,167900,169000,167200,166000,165000,165000,160000,159900,159900,159900,160000,160000,160000,160900,163800,163800,163100,163000,162500,163420,160600,165000,165000,168900,169900,170900,172000,170000,169900,169900,169900,169000,169500,168500,169000,169900,171050,174900,175000,175000,175000,175900,175000,177500,175000,176999.5,179500,179900,182000,185000,185000,185000,185000,186000,185000,186000,187000,189000,190000,195000,199900,199900,199999,199900,199900,199900,199900,199500,199500,199000,198375,199700,204900,209000,209000,209000,207000,206000,207000,207000,205000,204500,205000,209000,210000,214000,213000,214900,212500
"Kentucky",26,149900,149900,149900,149900,149900,149900,149900,149000,149000,147900,145900,143819.5,139900,139900,143000,144000,147900,147500,146900,145000,145900,144900,144500,140000,139900,139950,142900,143900,142500,144900,142900,142000,139900,139900,139900,139000,139000,139000,139900,139900,141900,140000,139995,139900,139900,139900,139900,139900,139000,139900,142500,146500,149000,149900,149900,149900,149900,149900,149900,149000,149000,149900,149900,152500,158000,159000,159000,159000,159500,157900,156000,153316,150000,150000,154900,159900,160000,164900,164900,162000,160000,162500,162000,159900,159900,160000,165900,169900,174900,174900,174900,173500,172500,172900,170166,169900,173950,175000,178000,179900,184900,184900,184900,182994.5
"Oregon",27,252900,249900,249900,249000,249500,249900,249000,249000,240000,239900,239000,229999.5,225000,224500,224900,225000,229000,229900,233990,234900,235000,229900,219900,209900,210000,209900,214900,219000,219900,225000,225000,234900,229900,229900,229000,229000,229086,234900,239000,248975,250000,257900,259000,255000,255000,255000,250000,249900,249900,249950,254900,260000,259900,265000,269900,269900,269000,264800,263509,259900,259900,264900,269900,275000,279900,285000,285000,287500,289500,289900,289948.5,289900,289000,290000,299056,305000,317700,320000,325000,325000,325000,325000,325000,325000,325000,325000,334000,345000,349900,355000,359000,353254.5,355000,355500,354950,354900,350000,359900,367500,375000,378528,379900,375250,375000
"Oklahoma",28,146000,145900,147000,147400,149041.5,149000,146975,145000,148000,148500,148457,145000,142257,141700,144900,144900,145000,144900,142900,140000,139960,139900,139500,139000,136900,139000,139900,139900,140000,143374,140000,140000,140000,139900,139900,139500,139500,140000,140050,144775,145000,145900,144900,144829,144900,145000,145000,145000,145000,146545,148900,149900,152490,152900,154000,154900,153597,150000,154900,152525.5,155000,157995,159000,159900,160000,162995,164000,163000,164900,164000,164900,164900,165000,164900,168000,169900,170066.5,174500,174900,174500,174440,173900,174900,175000,174900,174900,175000,178500,179900,180000,182000,179900,180000,179900,179900,177000,177900,179900,179900,182900,183000,183000,182900,183500
"Connecticut",29,299000,299000,299000,299000,299500,299500,295000,295000,282000,280000,279900,270000,274900,275000,279900,279900,285000,288900,279900,279000,275000,269900,269900,265000,259900,265000,269000,269900,275000,275000,270000,265000,269000,265000,262000,257500,254900,264900,269900,279900,285000,279999,279000,269900,269900,269000,268900,259900,259900,264900,269900,279900,284500,284900,279900,274900,274900,274500,269900,260000,264900,269900,275000,284900,285000,289000,285000,279000,279900,279900,279000,274900,274900,279900,289000,295900,299900,299900,299900,299000,299900,299000,299000,290000,289900,299000,299900,314877,319900,319900,315000,309000,310000,309900,3e+05,299900,299900,309900,316900,325000,329000,327500,324900,315000
"Iowa",30,139950,139990,142900,144900,144900,144825,144900,142500,139900,139900,139000,134950,134500,132000,135000,134900,136500,137900,135000,134900,132000,132950,131000,129900,129900,130000,134000,134900,135000,134900,134570,132500,130000,129900,130000,129900,129900,129900,134000,135000,138500,137900,135000,134900,130000,130000,129900,129900,129900,130800,136500,139900,139950,140000,139900,139900,138900,137500,137900,135000,138700,139900,144000,148000,157500,158000,155000,152450,149900,149900,149500,147000,149000,150000,155000,159900,160000,164900,164750,159950,159900,159900,155000,153000,155000,160000,164900,169900,174900,175000,174900,169900,169200,169000,169000,169000,169900,174900,179900,180000,182900,180000,179000,175000
"Mississippi",31,157800,158500,155000,155000,156000,155000,154900,154500,154900,153000,151550,149900,149500,148500,149900,150000,153000,154900,154900,154900,155000,150000,149900,149900,149500,148600,149900,149500,149500,149900,149900,149900,149500,149850,149000,147900,149350,149700,149900,149949.5,153000,154500,154900,153287.5,154900,152250,150000,150000,150000,150000,154900,157500,159000,159000,159000,159000,159000,158750,158900,157000,159000,159711,159900,160000,164900,164500,164900,164638.5,167000,160362.5,160000,159900,159900,159900,161000,164800,165000,168000,168849.5,167000,165000,167500,168300,165500,165900,167500,170000,175000,178500,179000,179000,178875,179000,179900,175900,178000,179000,179000,179900,183810,185000,182000,183900,182875
"Arkansas",32,149900,149900,149900,149900,149900,150000,149900,149900,149900,149900,149000,145000,140000,139900,142900,143900,144950,144925,145000,145830,145577.5,145000,145000,145000,144375,145000,147500,149900,149900,150000,149900,149900,147000,145000,145000,143900,143950,144900,145000,147500,148000,147900,145000,144900,144900,141997,141000,139900,139900,139900,140000,142900,144500,146900,146500,146850,145000,145000,145000,144900,145000,148000,149900,149500,154900,155000,156900,154900,152900,154000,150000,149900,150000,150000,154900,155000,159500,159900,159900,159500,159000,157500,155000,154500,154900,155900,159000,159965,162000,164900,165000,164900,165000,165000,165000,164000,164900,165000,169000,173950,174530,174900,175000,172500
