,startstationid,startstationname,startstationlongitude,startstationlatitude,count
0,519,Pershing Square North,-73.97770600000001,40.751872999999996,150523
1,435,W 21 St & 6 Ave,-73.99415556,40.74173969,100723
2,497,E 17 St & Broadway,-73.99009296,40.73704984,99486
3,426,West St & Chambers St,-74.01322069,40.71754834,98309
4,402,Broadway & E 22 St,-73.98955109,40.740343200000005,97351
5,490,8 Ave & W 33 St,-73.993934,40.751551,85339
6,285,Broadway & E 14 St,-73.99074142,40.73454567,84407
7,284,Greenwich Ave & 8 Ave,-74.0026376103,40.7390169121,80934
8,151,Cleveland Pl & Spring St,-73.99724900722505,40.72210378668603,80794
9,459,W 20 St & 11 Ave,-74.007756,40.746745000000004,79446
