,endstationid,endstationname,endstationlongitude,endstationlatitude,endcount,endnumber
0,519,Pershing Square North,-73.97770600000001,40.751872999999996,160387,1
1,497,E 17 St & Broadway,-73.99009296,40.73704984,117318,2
2,402,Broadway & E 22 St,-73.98955109,40.740343200000005,116509,3
3,426,West St & Chambers St,-74.01322069,40.71754834,114511,4
4,435,W 21 St & 6 Ave,-73.99415556,40.74173969,108457,5
5,3255,8 Ave & W 31 St,-73.9946848154068,40.7505853470215,98780,6
6,459,W 20 St & 11 Ave,-74.007756,40.746745000000004,96123,7
7,490,8 Ave & W 33 St,-73.993934,40.751551,90574,8
8,514,12 Ave & W 40 St,-74.00277668,40.76087502,89914,9
9,523,W 38 St & 8 Ave,-73.99138152,40.75466591,84087,10
