,endstationid,endstationname,endstationlongitude,endstationlatitude,endcount,endnumber
0,3220,5 Corners Library,-74.05950307846071,40.73496102000952,1,1
1,3280,Astor Place,-74.07126188278198,40.71928220070703,1,2
2,475,E 15 St & Irving Pl,-73.98758561,40.73524276,1,3
3,3188,NJCU,-74.0858489,40.710108700000006,1,4
4,3645,Pathmark Depot,-73.99706125259401,40.67233267189711,1,5
5,3209,Brunswick St,-74.05065640000001,40.7241765,1,6
6,3633,333 Johnson TEST 1,0.0,0.0,1,7
7,3268,Lafayette Park,-74.06285852193831,40.71346382669195,1,8
8,3471,NYCBS Depot - GOW Annex,-73.99481356143951,40.66888415753939,1,9
9,3272,Jersey & 3rd,-74.04595255851744,40.723331586464354,1,10
