,endstationid,endstationname,endstationlongitude,endstationlatitude,endcount,endnumber
0,293,Lafayette St & E 8 St,-73.9907647,40.73028666,96341,1
1,519,Pershing Square North,-73.97770600000001,40.751872999999996,95783,2
2,497,E 17 St & Broadway,-73.99009296,40.73704984,90303,3
3,435,W 21 St & 6 Ave,-73.99415556,40.74173969,87867,4
4,426,West St & Chambers St,-74.01322069,40.71754834,81764,5
5,285,Broadway & E 14 St,-73.99074142,40.73454567,74292,6
6,477,W 41 St & 8 Ave,-73.9900262,40.75640548,69938,7
7,521,8 Ave & W 31 St,-73.99444207549095,40.750967348715974,67640,8
8,402,Broadway & E 22 St,-73.98955109,40.740343200000005,67477,9
9,368,Carmine St & 6 Ave,-74.00214988,40.73038599,66390,10
