,startstationid,startstationname,startstationlongitude,startstationlatitude,startcount,startnumber
0,3385,2 Ave & E 105 St,-73.94296109,40.7898175,1,1
1,294,Washington Square E,-73.99572140000001,40.73049393,2,2
2,3036,8D OPS 01,-74.0313720703125,40.517975200388506,2,3
3,3240,NYCBS Depot BAL - DYR,0.0,0.0,3,4
4,3266,Kiosk in a box Deployment,-73.92850399017334,40.70861098096821,7,5
5,3036,8D OPS 01,-74.02544975280763,40.684868747593924,8,6
6,160,E 37 St & Lexington Ave,-73.978238,40.44535,8,7
7,3014,3969.TEMP (Bike The Branches - Central Branch),-73.959114,40.722852,9,8
8,3040,SSP Tech Workshop,-74.016263,40.646678,11,9
9,3017,NYCBS Depot - FAR,-73.996764,40.751483,12,10
