,endstationid,endstationname,endstationlongitude,endstationlatitude,endcount,endnumber
0,3198,Heights Elevator,-74.04031309999999,40.748536200000004,1,1
1,3196,Riverview Park,-74.04399090000001,40.7443187,1,2
2,3186,Grove St PATH,-74.04294312000275,40.71946109443547,1,3
3,3197,North St,-74.044725,40.752559000000005,1,4
4,3198,Heights Elevator,-74.04044330120088,40.748715945380226,1,5
5,3206,Hilltop,-74.0575736,40.7311689,1,6
6,3191,Union St,-74.08363940000001,40.71821129999999,1,7
7,3211,Newark Ave,-74.046304543,40.72152515,1,8
8,3276,Marin Light Rail,-74.04281705617905,40.71458403535893,1,9
9,3276,Marin Light Rail,-74.04298067092896,40.714824504192755,1,10
